coordinates	refseqid	gene	circn	run_hal01_test1a	run_697_r_test1a	run_hal01_r_test1a	run_hal01_r_test1c	run_hal01_test1c	run_hal01_test1d	run_hal01_test1b	run_697_r_test1c	run_hal01_r_test1b	run_697_test1c	run_697_r_test1b	run_697_test1e	run_697_r_test1d	run_hal01_r_test1d	run_697_test1a	run_697_test1d	
chr13:100953713-100962162	NM_000282	PCCA	hsa_circ_0002664	4	21	10	10	4	4	4	21	10	0	21	0	21	10	0	0
chr13:100953713-100982925	NM_000282	PCCA	hsa_circ_0002880	0	15	0	0	0	0	0	15	0	0	15	0	15	0	0	0
chr13:100953713-100992513	NM_000282	PCCA	hsa_circ_0030763	0	12	5	5	0	0	0	12	5	4	12	4	12	5	4	4
chr13:100953713-101020828	NM_000282	PCCA	unknown	0	17	2	2	0	0	0	17	2	0	17	0	17	2	0	0
chr13:100962086-100992513	NM_000282	PCCA	hsa_circ_0030769	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:100962086-101020828	NM_000282	PCCA	hsa_circ_0030770	0	2	4	4	0	0	0	2	4	0	2	0	2	4	0	0
chr13:100982814-101020828	NM_000282	PCCA	hsa_circ_0030771	0	5	6	6	0	0	0	5	6	0	5	0	5	6	0	0
chr13:101179928-101191624	NM_000282	PCCA	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:101320832-101322823	NM_001079669	TMTC4	unknown	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr13:103275226-103280274	NM_003291	TPP2	hsa_circ_0008881	0	3	7	7	0	0	0	3	7	0	3	0	3	7	0	0
chr13:103279361-103289589	NM_003291	TPP2	hsa_circ_0008744	0	4	0	0	0	0	0	4	0	0	4	0	4	0	0	0
chr13:111274562-111276626	NM_001242882	NAXD	hsa_circ_0030883	0	6	4	4	0	0	0	6	4	0	6	0	6	4	0	0
chr13:111303380-111319820	NM_024537	CARS2	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:111857635-111870227	NM_001113511	ARHGEF7	hsa_circ_0000503	2	6	12	12	2	2	2	6	12	0	6	0	6	12	0	0
chr13:111857635-111885640	NM_001113511	ARHGEF7	hsa_circ_0030914	0	3	6	6	0	0	0	3	6	0	3	0	3	6	0	0
chr13:111870025-111896641	NM_001113511	ARHGEF7	hsa_circ_0009141	0	2	18	18	0	0	0	2	18	0	2	0	2	18	0	0
chr13:111919894-111940790	NM_001113511	ARHGEF7	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:111932884-111940790	NM_001113511	ARHGEF7	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:113158345-113181798	NM_006322	TUBGCP3	hsa_circ_0007031	0	5	4	4	0	0	0	5	4	0	5	0	5	4	0	0
chr13:113170753-113181798	NM_006322	TUBGCP3	hsa_circ_0000504	3	18	23	23	3	3	3	18	23	0	18	0	18	23	0	0
chr13:113174199-113200179	NM_006322	TUBGCP3	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:113200012-113223573	NM_006322	TUBGCP3	hsa_circ_0030945	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:113219424-113223573	NM_006322	TUBGCP3	hsa_circ_0030953	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:113439448-113460607	NM_015205	ATP11A	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:113963957-113964177	NM_005561	LAMP1	hsa_circ_0030998	2	3	0	0	2	2	2	3	0	0	3	0	3	0	0	0
chr13:114157810-114188555	NM_017905	TMCO3	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:114164552-114175048	NM_017905	TMCO3	hsa_circ_0008539	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr13:114164552-114188555	NM_017905	TMCO3	hsa_circ_0006312	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:114174930-114193822	NM_017905	TMCO3	hsa_circ_0004361	0	6	0	0	0	0	0	6	0	0	6	0	6	0	0	0
chr13:114806475-114839312	NM_007368	RASA3	hsa_circ_0004096	0	2	3	3	0	0	0	2	3	0	2	0	2	3	0	0
chr13:114817526-114822949	NM_007368	RASA3	hsa_circ_0007514	0	5	0	0	0	0	0	5	0	0	5	0	5	0	0	0
chr13:115007595-115016149	NM_001078645	CDC16	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:31207523-31207634	NM_006762	LAPTM5	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:31413997-31414970	NM_001020658	PUM1	hsa_circ_0011218	0	5	0	0	0	0	0	5	0	0	5	0	5	0	0	0
chr1:31422973-31441339	NM_001020658	PUM1	unknown	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr1:31447497-31447649	NM_001020658	PUM1	hsa_circ_0011244	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:31447497-31454252	NM_001020658	PUM1	hsa_circ_0011245	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:31461155-31461635	NM_001020658	PUM1	unknown	0	2	3	3	0	0	0	2	3	0	2	0	2	3	0	0
chr1:31465236-31468067	NM_001020658	PUM1	hsa_circ_0000043	5	26	29	29	5	5	5	26	29	2	26	2	26	29	2	2
chr1:31465236-31479946	NM_001020658	PUM1	hsa_circ_0006636	0	6	0	0	0	0	0	6	0	0	6	0	6	0	0	0
chr1:31465236-31479949	NM_001020658	PUM1	hsa_circ_0000044	3	6	16	16	3	3	3	6	16	0	6	0	6	16	0	0
chr1:31478699-31479949	NM_001020658	PUM1	hsa_circ_0004949	0	5	5	5	0	0	0	5	5	0	5	0	5	5	0	0
chr1:31532050-31532424	NM_001020658	PUM1	hsa_circ_0000045	2	5	5	5	2	2	2	5	5	0	5	0	5	5	0	0
chr13:19857339-19858331	NR_027248	unkn	unknown	0	5	0	0	0	0	0	5	0	0	5	0	5	0	0	0
chr13:19883780-19903748	NR_027248	unkn	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:20235837-20242671	NM_017520	MPHOSPH8	hsa_circ_0029604	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr13:20315704-20356931	NR_003272	PSPC1	hsa_circ_0000464	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:20333462-20356931	NR_003272	PSPC1	hsa_circ_0029616	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:20409616-20426330	NM_001142684	ZMYM5	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:20425494-20426330	NM_001142684	ZMYM5	hsa_circ_0002673	0	5	0	0	0	0	0	5	0	0	5	0	5	0	0	0
chr13:21179173-21199988	NM_006531	IFT88	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:21374969-21384106	NM_022459	XPO4	unknown	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr13:21429765-21442840	NM_022459	XPO4	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:21436855-21442840	NM_022459	XPO4	hsa_circ_0029684	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:21742126-21742538	NM_001166017	SKA3	hsa_circ_0000467	6	10	5	5	6	6	6	10	5	0	10	0	10	5	0	0
chr13:21955572-21965993	NR_046461	unkn	hsa_circ_0029703	3	3	2	2	3	3	3	3	2	0	3	0	3	2	0	0
chr13:22084142-22122056	NM_152726	MICU2	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:23927923-23945304	NM_001278055	SACS	hsa_circ_0003408	2	2	0	0	2	2	2	2	0	0	2	0	2	0	0	0
chr13:23939304-23945304	NM_001278055	SACS	hsa_circ_0002046	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:24796956-24798720	NM_001166271	SPATA13	hsa_circ_0004865	0	6	2	2	0	0	0	6	2	0	6	0	6	2	0	0
chr1:32495898-32498935	NM_001271878	KHDRBS1	hsa_circ_0007777	0	19	3	3	0	0	0	19	3	0	19	0	19	3	0	0
chr1:32495898-32502644	NM_001271878	KHDRBS1	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:32495898-32510991	NM_001271878	KHDRBS1	hsa_circ_0004289	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr1:32502510-32504220	NM_001271878	KHDRBS1	hsa_circ_0007231	0	5	2	2	0	0	0	5	2	0	5	0	5	2	0	0
chr1:32560384-32566163	NM_018056	TMEM39B	hsa_circ_0003601	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr13:25901053-25905696	NM_001008564	NUP58	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:32627547-32632897	NM_012316	KPNA6	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:32628835-32632897	NM_012316	KPNA6	hsa_circ_0003880	0	2	4	4	0	0	0	2	4	0	2	0	2	4	0	0
chr1:32689634-32690076	NM_003757	EIF3I	hsa_circ_0011377	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:26898908-26928017	NM_001260	CDK8	hsa_circ_0006541	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:26911703-26928017	NM_001260	CDK8	hsa_circ_0029803	0	8	17	17	0	0	0	8	17	0	8	0	8	17	0	0
chr1:32691771-32692131	NM_003757	EIF3I	hsa_circ_0011385	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr13:26974589-26975761	NM_001260	CDK8	hsa_circ_0003489	0	11	13	13	0	0	0	11	13	0	11	0	11	13	0	0
chr1:32792539-32793278	NM_004964	HDAC1	hsa_circ_0005339	0	3	3	3	0	0	0	3	3	0	3	0	3	3	0	0
chr13:28562599-28624359	NM_001105577	URAD	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:28588588-28589838	NM_004119	FLT3	unknown	0	5	0	0	0	0	0	5	0	0	5	0	5	0	0	0
chr13:28597486-28599080	NM_004119	FLT3	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:28597486-28602425	NM_004119	FLT3	unknown	3	6	4	4	3	3	3	6	4	0	6	0	6	4	0	0
chr13:28598997-28602425	NM_004119	FLT3	unknown	2	7	8	8	2	2	2	7	8	2	7	2	7	8	2	2
chr13:28608023-28624359	NM_004119	FLT3	unknown	3	4	8	8	3	3	3	4	8	0	4	0	4	8	0	0
chr13:28611321-28624359	NM_004119	FLT3	unknown	0	5	4	4	0	0	0	5	4	2	5	2	5	4	2	2
chr13:28622411-28626811	NM_004119	FLT3	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:28636003-28644749	NM_004119	FLT3	unknown	0	2	3	3	0	0	0	2	3	0	2	0	2	3	0	0
chr13:28748408-28752072	NM_175854	PAN3	hsa_circ_0004372	11	22	45	45	11	11	11	22	45	0	22	0	22	45	0	0
chr13:28748408-28771483	NM_175854	PAN3	hsa_circ_0008760	0	6	3	3	0	0	0	6	3	0	6	0	6	3	0	0
chr13:28748408-28794515	NM_175854	PAN3	hsa_circ_0005831	7	12	16	16	7	7	7	12	16	0	12	0	12	16	0	0
chr13:28748408-28813833	NM_175854	PAN3	hsa_circ_0029834	2	2	3	3	2	2	2	2	3	0	2	0	2	3	0	0
chr13:28765387-28813833	NM_175854	PAN3	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:28771321-28794515	NM_175854	PAN3	hsa_circ_0006597	0	5	14	14	0	0	0	5	14	0	5	0	5	14	0	0
chr13:28813715-28855516	NM_175854	PAN3	unknown	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr13:28830428-28835595	NM_175854	PAN3	hsa_circ_0008902	4	19	15	15	4	4	4	19	15	0	19	0	19	15	0	0
chr13:28830428-28855516	NM_175854	PAN3	hsa_circ_0029853	3	6	6	6	3	3	3	6	6	0	6	0	6	6	0	0
chr13:28834583-28835595	NM_175854	PAN3	hsa_circ_0029855	0	7	7	7	0	0	0	7	7	0	7	0	7	7	0	0
chr13:28834583-28854678	NM_175854	PAN3	hsa_circ_0002552	0	3	4	4	0	0	0	3	4	0	3	0	3	4	0	0
chr13:28840851-28845003	NM_175854	PAN3	hsa_circ_0000469	0	10	16	16	0	0	0	10	16	0	10	0	10	16	0	0
chr13:28840851-28862259	NM_175854	PAN3	hsa_circ_0029864	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:30104674-30127997	NM_003045	SLC7A1	hsa_circ_0008598	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:33058531-33059355	NM_001040441	ZBTB8A	hsa_circ_0011422	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:33060654-33060824	NM_001040441	ZBTB8A	hsa_circ_0011423	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:30782713-30815223	NM_001014380	KATNAL1	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:30782713-30857928	NM_001014380	KATNAL1	unknown	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr13:30801548-30857928	NM_001014380	KATNAL1	hsa_circ_0008068	2	4	4	4	2	2	2	4	4	0	4	0	4	4	0	0
chr13:30814596-30815223	NM_001014380	KATNAL1	hsa_circ_0029893	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:30826067-30829752	NM_001014380	KATNAL1	unknown	0	4	2	2	0	0	0	4	2	0	4	0	4	2	0	0
chr13:30854199-30857928	NM_001014380	KATNAL1	hsa_circ_0008651	0	7	5	5	0	0	0	7	5	0	7	0	7	5	0	0
chr1:33097427-33100393	NM_178547	ZBTB8OS	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:31797088-31803431	NM_194318	B3GLCT	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:31848645-31860956	NM_194318	B3GLCT	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:33244982-33246746	NM_003680	YARS	unknown	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr1:33248004-33256855	NM_003680	YARS	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:33276191-33276658	NM_003680	YARS	unknown	0	4	7	7	0	0	0	4	7	0	4	0	4	7	0	0
chr13:32768279-32776664	NM_023037	FRY	hsa_circ_0029920	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:32899212-32900750	NM_000059	BRCA2	hsa_circ_0029930	0	4	4	4	0	0	0	4	4	0	4	0	4	4	0	0
chr13:33054726-33101669	NM_001278432	N4BP2L2	hsa_circ_0005723	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr13:33091993-33095586	NM_001278432	N4BP2L2	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:33091993-33101669	NM_001278432	N4BP2L2	hsa_circ_0000471	12	39	51	51	12	12	12	39	51	7	39	7	39	51	7	7
chr13:33222890-33253066	NM_015032	PDS5B	hsa_circ_0029941	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:33306237-33309467	NM_015032	PDS5B	hsa_circ_0004494	3	16	17	17	3	3	3	16	17	3	16	3	16	17	3	3
chr13:33306237-33320238	NM_015032	PDS5B	hsa_circ_0029961	0	3	3	3	0	0	0	3	3	0	3	0	3	3	0	0
chr1:33409619-33411229	NM_001127361	RNF19B	hsa_circ_0011458	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr1:33413822-33415375	NM_001127361	RNF19B	hsa_circ_0000048	2	19	9	9	2	2	2	19	9	0	19	0	19	9	0	0
chr1:33478807-33480195	NM_001199199	AK2	hsa_circ_0011462	0	4	3	3	0	0	0	4	3	0	4	0	4	3	0	0
chr1:33741700-33747412	NM_152493	ZNF362	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:33745724-33746058	NM_152493	ZNF362	unknown	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr1:33760537-33760906	NM_152493	ZNF362	hsa_circ_0009027	3	18	18	18	3	3	3	18	18	2	18	2	18	18	2	2
chr13:37614541-37625720	NM_001278482	SUPT20H	hsa_circ_0000475	0	2	5	5	0	0	0	2	5	0	2	0	2	5	0	0
chr13:38225401-38248504	NM_001135955	TRPC4	unknown	0	3	5	5	0	0	0	3	5	0	3	0	3	5	0	0
chr13:38357092-38357497	NM_001135955	TRPC4	hsa_circ_0005832	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr13:39596462-39598693	NM_025138	PROSER1	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:41207283-41219623	NM_002015	FOXO1	unknown	0	2	4	4	0	0	0	2	4	0	2	0	2	4	0	0
chr13:41507605-41508164	NM_001145353	ELF1	unknown	0	9	5	5	0	0	0	9	5	0	9	0	9	5	0	0
chr13:41515056-41515506	NM_001145353	ELF1	hsa_circ_0030050	0	4	2	2	0	0	0	4	2	0	4	0	4	2	0	0
chr13:41515056-41518061	NM_001145353	ELF1	hsa_circ_0030051	0	4	2	2	0	0	0	4	2	0	4	0	4	2	0	0
chr13:41517087-41518061	NM_001145353	ELF1	unknown	0	4	5	5	0	0	0	4	5	0	4	0	4	5	0	0
chr13:41556118-41557323	NM_001145353	ELF1	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:41826780-41835051	NM_004294	MTRF1	hsa_circ_0008230	5	7	10	10	5	5	5	7	10	0	7	0	7	10	0	0
chr13:42350214-42352192	NM_015058	VWA8	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:42352120-42385476	NM_015058	VWA8	hsa_circ_0030104	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:42352120-42393522	NM_015058	VWA8	hsa_circ_0030105	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:42385360-42393522	NM_015058	VWA8	hsa_circ_0004711	0	16	16	16	0	0	0	16	16	0	16	0	16	16	0	0
chr13:42385360-42407667	NM_015058	VWA8	hsa_circ_0006049	0	2	4	4	0	0	0	2	4	0	2	0	2	4	0	0
chr13:42439871-42442613	NM_015058	VWA8	hsa_circ_0000478	3	13	17	17	3	3	3	13	17	2	13	2	13	17	2	2
chr13:42439871-42443325	NM_015058	VWA8	unknown	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr13:42729426-42748280	NM_001204504	DGKH	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:42733401-42742954	NM_001204504	DGKH	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:42742575-42748280	NM_001204504	DGKH	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:45725821-45781640	NM_004128	GTF2F2	hsa_circ_0007259	0	12	9	9	0	0	0	12	9	0	12	0	12	9	0	0
chr13:46077378-46085989	NM_031431	COG3	hsa_circ_0005168	0	2	4	4	0	0	0	2	4	0	2	0	2	4	0	0
chr13:46090277-46093229	NM_031431	COG3	hsa_circ_0003401	0	3	6	6	0	0	0	3	6	0	3	0	3	6	0	0
chr13:47266670-47303119	NM_001164211	LRCH1	hsa_circ_0030207	0	2	4	4	0	0	0	2	4	0	2	0	2	4	0	0
chr13:47297355-47303119	NM_001164211	LRCH1	hsa_circ_0030214	0	4	5	5	0	0	0	4	5	0	4	0	4	5	0	0
chr13:47297355-47308133	NM_001164211	LRCH1	hsa_circ_0002215	0	9	10	10	0	0	0	9	10	2	9	2	9	10	2	2
chr13:47297372-47297465	NM_001164211	LRCH1	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:48891070-48891674	NM_000321	RB1	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:48947540-48955579	NM_000321	RB1	unknown	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr13:49712882-49720071	NM_001079673	FNDC3A	hsa_circ_0000481	0	13	6	6	0	0	0	13	6	0	13	0	13	6	0	0
chr13:49741379-49749677	NM_001079673	FNDC3A	hsa_circ_0004024	4	3	6	6	4	4	4	3	6	0	3	0	3	6	0	0
chr13:49742748-49749677	NM_001079673	FNDC3A	hsa_circ_0005275	0	5	0	0	0	0	0	5	0	0	5	0	5	0	0	0
chr13:49742748-49752790	NM_001079673	FNDC3A	hsa_circ_0006978	0	9	7	7	0	0	0	9	7	0	9	0	9	7	0	0
chr13:49771012-49772710	NM_001079673	FNDC3A	hsa_circ_0005263	0	3	4	4	0	0	0	3	4	0	3	0	3	4	0	0
chr13:50025688-50026045	NM_031915	SETDB2	hsa_circ_0030253	0	3	3	3	0	0	0	3	3	2	3	2	3	3	2	2
chr13:50025688-50035298	NM_031915	SETDB2	unknown	0	4	0	0	0	0	0	4	0	0	4	0	4	0	0	0
chr13:50025688-50042096	NM_031915	SETDB2	hsa_circ_0030254	0	6	0	0	0	0	0	6	0	2	6	2	6	0	2	2
chr13:50054354-50057699	NM_031915	SETDB2	hsa_circ_0000483	2	2	0	0	2	2	2	2	0	0	2	0	2	0	0	0
chr13:50054354-50059859	NM_031915	SETDB2	hsa_circ_0030256	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:50124546-50125604	NM_018191	RCBTB1	unknown	0	3	2	2	0	0	0	3	2	0	3	0	3	2	0	0
chr13:50279756-50280508	NM_002267	KPNA3	hsa_circ_0007232	0	6	6	6	0	0	0	6	6	0	6	0	6	6	0	0
chr13:50280233-50280508	NM_002267	KPNA3	hsa_circ_0000485	2	4	0	0	2	2	2	4	0	0	4	0	4	0	0	0
chr13:50571209-50618904	NR_002612	DLEU2	hsa_circ_0006475	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:50601498-50619368	NR_002612	DLEU2	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:51501542-51509135	NM_024570	RNASEH2B	hsa_circ_0030286	2	5	12	12	2	2	2	5	12	0	5	0	5	12	0	0
chr13:51501542-51517530	NM_024570	RNASEH2B	hsa_circ_0030287	0	4	8	8	0	0	0	4	8	0	4	0	4	8	0	0
chr13:51501542-51519668	NM_024570	RNASEH2B	hsa_circ_0030288	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr13:51501542-51523641	NM_024570	RNASEH2B	hsa_circ_0000489	9	20	28	28	9	9	9	20	28	4	20	4	20	28	4	4
chr13:51501542-51535650	NM_024570	RNASEH2B	unknown	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr13:51501542-51544211	NM_024570	RNASEH2B	unknown	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr13:52277731-52313311	NM_052950	WDFY2	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:52718825-52722604	NM_152720	NEK3	hsa_circ_0030328	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:52971366-52972329	NM_018676	THSD1	hsa_circ_0008776	0	3	3	3	0	0	0	3	3	0	3	0	3	3	0	0
chr13:52971366-52976816	NM_018676	THSD1	hsa_circ_0008581	0	2	9	9	0	0	0	2	9	0	2	0	2	9	0	0
chr13:52971366-52976829	NM_018676	THSD1	unknown	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr13:52992126-53000201	NM_001282169	VPS36	hsa_circ_0030340	0	8	9	9	0	0	0	8	9	2	8	2	8	9	2	2
chr13:52992126-53001354	NM_001282169	VPS36	hsa_circ_0030342	4	5	5	5	4	4	4	5	5	0	5	0	5	5	0	0
chr1:35653573-35657098	NM_005066	SFPQ	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:35824525-35827390	NM_005095	ZMYM4	hsa_circ_0011536	7	9	6	6	7	7	7	9	6	0	9	0	9	6	0	0
chr1:35826794-35852879	NM_005095	ZMYM4	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:35846859-35854683	NM_005095	ZMYM4	hsa_circ_0000051	4	9	3	3	4	4	4	9	3	0	9	0	9	3	0	0
chr1:35846859-35855699	NM_005095	ZMYM4	hsa_circ_0011542	0	5	0	0	0	0	0	5	0	2	5	2	5	0	2	2
chr1:35870623-35871069	NM_005095	ZMYM4	unknown	0	3	2	2	0	0	0	3	2	0	3	0	3	2	0	0
chr1:35870623-35873760	NM_005095	ZMYM4	unknown	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr1:35879572-35881315	NM_005095	ZMYM4	hsa_circ_0004709	2	8	7	7	2	2	2	8	7	0	8	0	8	7	0	0
chr1:35881066-35881315	NM_005095	ZMYM4	hsa_circ_0011558	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr1:35925905-35932296	NM_024874	KIAA0319L	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:35936463-35944813	NM_024874	KIAA0319L	hsa_circ_0011571	0	6	2	2	0	0	0	6	2	0	6	0	6	2	0	0
chr1:35944566-35944813	NM_024874	KIAA0319L	hsa_circ_0004660	0	3	3	3	0	0	0	3	3	0	3	0	3	3	0	0
chr13:60407240-60413582	NM_001258366	DIAPH3	hsa_circ_0030369	0	5	0	0	0	0	0	5	0	0	5	0	5	0	0	0
chr13:60407240-60490383	NM_001258366	DIAPH3	unknown	0	2	3	3	0	0	0	2	3	0	2	0	2	3	0	0
chr13:60435540-60490383	NM_001258366	DIAPH3	hsa_circ_0002592	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr13:60544077-60548590	NM_001258366	DIAPH3	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:61013821-61034674	NM_001146071	TDRD3	hsa_circ_0004245	0	8	19	19	0	0	0	8	19	0	8	0	8	19	0	0
chr13:61013821-61041513	NM_001146071	TDRD3	hsa_circ_0003441	8	48	39	39	8	8	8	48	39	6	48	6	48	39	6	6
chr1:36208741-36212593	NM_001190481	CLSPN	hsa_circ_0011587	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:36213507-36214205	NM_001190481	CLSPN	hsa_circ_0003352	0	2	5	5	0	0	0	2	5	0	2	0	2	5	0	0
chr1:36367074-36367938	NM_012199	AGO1	hsa_circ_0011625	0	2	5	5	0	0	0	2	5	0	2	0	2	5	0	0
chr1:36437624-36439112	NM_024852	AGO3	hsa_circ_0011631	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:36474290-36474645	NM_024852	AGO3	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:36826821-36828257	NM_001282546	STK40	hsa_circ_0000053	0	13	5	5	0	0	0	13	5	0	13	0	13	5	0	0
chr1:36920930-36923582	NM_031280	MRPS15	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:73347821-73351631	NM_001128226	DIS3	hsa_circ_0006762	0	3	3	3	0	0	0	3	3	0	3	0	3	3	0	0
chr13:73428194-73505405	NM_006346	PIBF1	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:73482668-73505405	NM_006346	PIBF1	hsa_circ_0030408	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr13:73539411-73547813	NM_006346	PIBF1	hsa_circ_0030409	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr13:74506371-74518207	NM_007249	KLF12	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
